seq1,14,1,4/4/2017 5:43:50 PM
seq2,14,2,4/4/2017 5:44:27 PM
Melodyseq1,   Counts:14,   Errors:1,   Time:4/4/2017 5:46:21 PM
Melody: seq2,   Counts: 14,   Errors: 0,   Time: 4/4/2017 5:47:57 PM
Melody: Melody,   Counts: 14,   Errors: 4,   Time: 4/4/2017 8:02:46 PM
Melody: Melody,   Counts: 14,   Errors: 2,   Time: 4/4/2017 8:22:07 PM
Melody: Melody,   Counts: 14,   Errors: 1,   Time: 4/4/2017 8:34:36 PM
Melody: Melody,   Counts: 14,   Errors: 0,   Time: 4/4/2017 11:01:20 PM
Melody: Melody,   Counts: 14,   Errors: 1,   Time: 4/4/2017 11:03:12 PM
Melody: Melody,   Counts: 14,   Errors: 1,   Time: 4/4/2017 11:03:31 PM
Melody: Melody,   Counts: 62,   Errors: 16,   Time: 4/4/2017 11:08:19 PM
Melody: Melody,   Counts: 24,   Errors: 0,   Time: 4/4/2017 11:08:59 PM
Melody: Melody,   Counts: 14,   Errors: 2,   Time: 4/5/2017 3:55:36 PM
Melody: Melody,   Counts: 14,   Errors: 0,   Time: 4/5/2017 4:43:45 PM
Melody: Melody,   Counts: 14,   Errors: 2,   Time: 4/5/2017 4:47:56 PM    Time Spent:14.97505
Melody: seq1,   Counts: 14,   Errors: 0,   Time: 4/5/2017 4:49:49 PM    Time Spent:12.29099
Melody: seq1,   Counts: 14,   Errors: 0,   Time: 4/5/2017 5:00:46 PM    Time Spent:129.063
Melody: seq1,   Counts: 14,   Errors: 1,   Time: 4/5/2017 5:15:00 PM    Time Spent:128.4609
Melody: seq1,   Counts: 14,   Errors: 1,   Time: 4/5/2017 5:15:34 PM    Time Spent:86.66822
Melody: seq1,   Counts: 14,   Errors: 1,   Time: 4/5/2017 9:50:33 PM    Time Spent:167.7442
Melody: seq1,   Counts: 14,   Errors: 0,   Time: 4/5/2017 9:52:11 PM    Time Spent:82.73003
Melody: seq1,   Counts: 14,   Errors: 1,   Time: 4/5/2017 9:52:48 PM    Time Spent:12.37429
Melody: seq1,   Counts: 14,   Errors: 0,   Time: 4/5/2017 9:56:56 PM    Time Spent:110.0185
Melody: seq1,   Counts: 14,   Errors: 10,   Time: 4/5/2017 9:59:35 PM    Time Spent:311.2088
Melody: seq1,   Counts: 14,   Errors: 1,   Time: 4/5/2017 10:16:23 PM    Time Spent:25.63237
Melody: seq1,   Counts: 14,   Errors: 0,   Time: 4/5/2017 10:19:11 PM    Time Spent:15.61587
Melody: seq1,   Counts: 14,   Errors: 1,   Time: 4/5/2017 10:20:35 PM    Time Spent:19.94977
Melody: seq1,   Counts: 14,   Errors: 1,   Time: 4/5/2017 10:23:02 PM    Time Spent:12.06799
Melody: seq1,   Counts: 14,   Errors: 0,   Time: 4/5/2017 10:28:32 PM    Time Spent:15.57831
Melody: seq1,   Counts: 14,   Errors: 0,   Time: 4/5/2017 10:33:16 PM    Time Spent:15.20667
Melody: seq1,   Counts: 14,   Errors: 0,   Time: 4/5/2017 10:41:18 PM    Time Spent:14.21847
Melody: seq1,   Counts: 14,   Errors: 0,   Time: 4/5/2017 11:01:36 PM    Time Spent:14.0061
Melody: seq1,   Counts: 14,   Errors: 0,   Time: 4/5/2017 11:20:57 PM    Time Spent:11.06727
Melody: seq1,   Counts: 14,   Errors: 0,   Time: 4/6/2017 1:40:49 AM    Time Spent:50.29016
Melody: seq3,   Counts: 30,   Errors: 32,   Time: 4/6/2017 1:48:12 AM    Time Spent:309.538
